ANID,Chemgrp,Site_Country,Site_State,Site_Name,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Y,Zr,Nb,Th
AJE006,SHM,Argentina,Catamarca,Salar del Hombre Muerto,28843.2,1577.6,345.4,1823.4,3333.7,95.6,1058.5,1.9,128.3,19.9,74.1,4.4
AJE018,SHM,Argentina,Catamarca,Salar del Hombre Muerto,35681.9,1489.5,266.4,2184.9,3475.8,104.2,1105.5,1.7,137.6,20.5,77.8,0
AJE026,SHM,Argentina,Catamarca,Salar del Hombre Muerto,35062.8,1592.6,297.2,2133.6,3437.7,98.8,1061.9,1.1,130,17.4,74.6,0
LCA001,LCA,Argentina,Catamarca,Laguna Cavi,37803.4,4990.3,318.4,848.1,4292.7,41.5,476.1,6.1,74.3,31,37.1,22.6
LCA002,LCA,Argentina,Catamarca,Laguna Cavi,38473.4,4962.3,301.5,914.3,4275.7,36.4,475.4,5,72.8,34.1,37.4,25.8
LCA003,LCA,Argentina,Catamarca,Laguna Cavi,36320.5,4724.6,307.6,839.7,4178.3,38.7,468.2,5.7,71.7,30.9,36.8,27.3
LCA004,LCA,Argentina,Catamarca,Laguna Cavi,36386.3,4819.5,279.4,815.6,4251.8,41.4,466,5.7,73.7,27.5,38.8,22.2
LCA005,LCA,Argentina,Catamarca,Laguna Cavi,39729.7,4861.8,377.1,904.3,4455.3,42.4,482.4,5,74,33.9,37,27.5
LCA006,LCA,Argentina,Catamarca,Laguna Cavi,35634.7,4648.2,284.6,808.4,4131.4,40.8,458.8,7.1,70.9,29.4,38,23.5
LCA007,LCA,Argentina,Catamarca,Laguna Cavi,36102.6,4359,291.1,837,4185.4,37.6,470.8,4.9,72.8,31.8,38.9,20.5
OARG01,ONA,Argentina,Catamarca,Ona,35109,5998.4,747.3,365.3,4786.3,37.4,210,136,21.1,72.6,16.7,20.9
OARG02,ONA,Argentina,Catamarca,Ona,42819.1,8718.9,792.1,450.6,5511.1,44,228.4,150.8,22.2,75.3,16.8,25.6
OARG03,ONA,Argentina,Catamarca,Ona,35332,6473,716.5,376,4799.9,33.3,208.3,135.6,20.9,71.3,17.3,21.4
OARG04,ONA,Argentina,Catamarca,Ona,37079.9,6618.7,572.3,368.4,4918.3,35.9,214.8,138.6,22.5,76.7,17.2,23.9
OARG05,ONA,Argentina,Catamarca,Ona,36658.5,6665.2,633.9,406.2,4949.1,37.9,216.8,138.1,21.2,72,17.6,23.5
OARG06,ONA,Argentina,Catamarca,Ona,36745.3,6592,808.7,407.6,4838.7,37.4,213.7,139.3,20.6,73.6,15.8,24.4
OARG07,ONA,Argentina,Catamarca,Ona,35497.8,5676.8,522.1,332.5,4709.9,35.4,206.2,131.9,20.2,65.7,17,20.9
OARG08,ONA,Argentina,Catamarca,Ona,39337.4,7167.6,613.5,404.2,4971.1,36.4,215.9,137.2,20.8,69.4,18.3,24.2
OARG09,ONA,Argentina,Catamarca,Ona,38221.3,6977.5,640.1,398.1,4908,37.8,212.1,138.9,20.1,71.4,15.2,22.1
OARG10,ONA,Argentina,Catamarca,Ona,43624.4,9578.1,827.1,534.8,5812.6,42.8,237.5,156.1,22.9,77.2,17.1,24.6
PSE023,SHM,Argentina,Catamarca,Salar del Hombre Muerto,29296,6769.5,763,1745.8,5268.8,101.7,1022.3,6,124.2,17.2,70.8,11.4
PSE036A,RAM,Argentina,Salta,Ramadas,39680.9,4678.1,159.6,838.1,6542.7,74.5,318.8,6.2,41.1,23.7,30.7,9.7
PSE052,TOCOMAR,Argentina,Salta,Alto Tocomar,40025.4,3953.1,362.3,1193.8,4356.7,56.4,770.7,17.7,71.4,12.9,42.7,0
PSE053,TOCOMAR,Argentina,Salta,Alto Tocomar,35656.9,3111.5,365.4,971.7,3897.6,51.4,727.5,18.3,67.1,5.3,41.7,0
PSE054,TOCOMAR,Argentina,Salta,Alto Tocomar,33139.9,3282.4,333.2,907.6,4883.7,51.9,721.9,17.4,68.2,4.2,42,0
PSE055,TOCOMAR,Argentina,Salta,Alto Tocomar,38125.7,3330.3,265.6,1055.2,4094.4,51.5,745,17.2,67,6.8,40.5,3
PSE056,TOCOMAR,Argentina,Salta,Alto Tocomar,36091.5,3229.3,274.6,945,3941,49.2,722,17.4,66.1,5.5,41.1,0
PSE057,TOCOMAR,Argentina,Salta,Alto Tocomar,36186.9,3473,347.1,993.6,4263.2,56.6,737.2,17.7,69.4,7.3,41.1,0
PSE058,TOCOMAR,Argentina,Salta,Alto Tocomar,36546.5,3131.2,262.1,1015.3,4011.8,51.3,734.3,17.7,68.4,5.2,41.5,0
PSE059,TOCOMAR,Argentina,Salta,Alto Tocomar,40185.9,3969.8,370.6,1266.9,4690.9,62.5,802.8,18.4,69.7,8.1,42.4,0
PSE061,RAM,Argentina,Salta,Ramadas,36731.2,3310.7,182.3,684.8,5993.1,71.8,308,5.8,39.7,24.8,30.8,7.3
PSE062,RAM,Argentina,Salta,Ramadas,42764.2,5136.9,181,1020.2,7280.7,77.9,337.9,5.7,45.8,30.6,32.4,9.3
PSE063,RAM,Argentina,Salta,Ramadas,41312.1,4841.8,150.1,907.4,6808.4,79.6,327.4,5.9,42.4,18.4,32.5,6.2
PSE065,RAM,Argentina,Salta,Ramadas,41200.3,4198.5,150.1,887.8,6645.1,74.1,325.6,5.9,41.7,45.3,30.8,6.3
PSE066,RAM,Argentina,Salta,Ramadas,38891.5,4422.9,183.2,748.5,6450.5,71.1,320.4,5.6,40.3,17.8,31.9,7.7
PSE068,RAM,Argentina,Salta,Ramadas,40688,4171.7,158.3,854.3,6607.7,72.5,326,5.7,40.9,19.6,31.2,12.1
PSE069,RAM,Argentina,Salta,Ramadas,40919.4,4253.2,150.1,855.9,6565.9,73.1,326.2,5.4,42.2,19,32.5,7.3
