File #,DateTime,Sample,Group,Application,Method,ElapsedTime,Mn,Rb,Sr,Y,Zr,Nb,Ba,Th
1137,1/1/2006 13:16,16-11137,Acari,Obsidian 3mm,Obsidian 3mm,30,940,192,91,20,82,28,840,29
1138,1/1/2006 13:18,RGM,Standard,Obsidian 3mm,Obsidian 3mm,30,759,162,128,29,243,22,1759,29
1139,1/1/2006 13:19,16-11138,Acari,Obsidian 3mm,Obsidian 3mm,30,736,186,140,18,103,23,1293,29
1140,1/1/2006 13:25,16-11139,Acari,Obsidian 3mm,Obsidian 3mm,30,1106,175,302,33,207,31,1529,26
1141,1/1/2006 13:26,16-11140,Acari,Obsidian 3mm,Obsidian 3mm,30,799,190,144,20,109,21,1489,37
1142,1/1/2006 13:32,16-11142,Acari,Obsidian 3mm,Obsidian 3mm,30,733,202,148,17,108,22,1339,28
1143,1/1/2006 13:33,16-11143,Acari,Obsidian 3mm,Obsidian 3mm,30,776,186,145,18,104,23,1364,35
1144,1/1/2006 13:35,16-11144,Acari,Obsidian 3mm,Obsidian 3mm,30,881,187,85,26,91,29,1403,26
1145,1/1/2006 13:36,16-11145,Acari,Obsidian 3mm,Obsidian 3mm,30,842,192,98,16,94,29,1410,28
1146,1/1/2006 13:40,16-11147,Acari,Obsidian 3mm,Obsidian 3mm,30,881,186,92,21,84,28,1251,29
1147,1/1/2006 13:47,16-11148,Acari,Obsidian 3mm,Obsidian 3mm,30,820,177,93,21,86,27,1134,30
1148,1/1/2006 13:49,16-11149,Acari,Obsidian 3mm,Obsidian 3mm,30,763,194,147,16,99,21,1473,33
1149,1/1/2006 13:52,RGM,Standard,Obsidian 3mm,Obsidian 3mm,30,706,146,123,32,236,23,1666,29
1150,1/1/2006 16:03,RGM,Standard,Obsidian 3mm,Obsidian 3mm,30,688,163,122,26,238,21,1702,25
1151,1/1/2006 16:05,16-11150,Acari,Obsidian 3mm,Obsidian 3mm,30,715,178,140,20,107,28,1478,27
1152,1/1/2006 16:06,16-11151,Acari,Obsidian 3mm,Obsidian 3mm,30,846,187,136,18,110,24,1678,32
1153,1/1/2006 16:08,16-11153,Acari,Obsidian 3mm,Obsidian 3mm,30,1190,241,117,24,107,32,1243,32
1154,1/1/2006 16:09,16-11154,Acari,Obsidian 3mm,Obsidian 3mm,30,897,180,91,18,87,25,1300,27
1155,1/1/2006 16:11,16-11155,Acari,Obsidian 3mm,Obsidian 3mm,30,783,196,148,21,116,22,1408,33
